collection,publication,year,issue_or_edition,filename,source_url,notes
smoke-and-blazes,Smoke and Blazes,1948-2016,Complete run,Smoke_and_Blazes_1948-2016.pdf,https://archive.org/download/SmokeAndBlazes_201605/Smoke%20and%20Blazes.pdf,Killington Section GMC newsletter; scanned by Rutland Historical Society 2015-2016; 499 MB
smoke-and-blazes,Smoke and Blazes,2013-2020,Supplement,Smoke_and_Blazes_2013-2020.pdf,https://archive.org/download/smokeandblazes201319/Smoke%20and%20Blazes-2013-20.pdf,Killington Section GMC newsletter supplement; 46 MB
long-trail-guide-books,Long Trail Guide Book,1917,Edition 1,LongTrailGuide_Ed01_1917.pdf,https://gmcmontpelier.org/Archive_Publications/LongTrailGuides/LTG_1917/LTG1917.pdf,
long-trail-guide-books,Long Trail Guide Book,1920,Edition 2,LongTrailGuide_Ed02_1920.pdf,https://gmcmontpelier.org/Archive_Publications/LongTrailGuides/LTG_1920/LTG1920.pdf,
long-trail-guide-books,Long Trail Guide Book,1921,Edition 3,LongTrailGuide_Ed03_1921.pdf,https://gmcmontpelier.org/Archive_Publications/LongTrailGuides/LTG_1921/LTG1921.pdf,
long-trail-guide-books,Long Trail Guide Book,1922,Edition 4,LongTrailGuide_Ed04_1922.pdf,https://gmcmontpelier.org/Archive_Publications/LongTrailGuides/LTG_1922/LTG1922.pdf,
long-trail-guide-books,Long Trail Guide Book,1924,Edition 5,LongTrailGuide_Ed05_1924.pdf,https://gmcmontpelier.org/Archive_Publications/LongTrailGuides/LTG_1924_FifthEd/LTG1924_Fifth.pdf,
long-trail-guide-books,Long Trail Guide Book,1924,Edition 6,LongTrailGuide_Ed06_1924.pdf,https://gmcmontpelier.org/Archive_Publications/LongTrailGuides/LTG_1924_SixthEd/LTG1924_Sixth.pdf,Two editions published in 1924
long-trail-guide-books,Long Trail Guide Book,1928,Edition 7,LongTrailGuide_Ed07_1928.pdf,https://gmcmontpelier.org/Archive_Publications/LongTrailGuides/LTG_1928/LTG1928.pdf,Extension to Jay Peak built in 1927
long-trail-guide-books,Long Trail Guide Book,1930,Edition 8,LongTrailGuide_Ed08_1930.pdf,https://gmcmontpelier.org/Archive_Publications/LongTrailGuides/LTG_1930/LTG1930.pdf,First edition with Divisions; trail reached Canada
long-trail-guide-books,Long Trail Guide Book,1932,Edition 9,LongTrailGuide_Ed09_1932.pdf,https://gmcmontpelier.org/Archive_Publications/LongTrailGuides/LTG_1932/LTG1932.pdf,
long-trail-guide-books,Long Trail Guide Book,1935,Edition 10,LongTrailGuide_Ed10_1935.pdf,https://gmcmontpelier.org/Archive_Publications/LongTrailGuides/LTG_1935/LTG1935.pdf,Foldout map missing from scanned copy
long-trail-guide-books,Long Trail Guide Book,1937,Edition 11,LongTrailGuide_Ed11_1937.pdf,https://gmcmontpelier.org/Archive_Publications/LongTrailGuides/LTG_1937/LTG1937.pdf,First sewn binding (earlier editions stapled)
long-trail-guide-books,Long Trail Guide Book,1940,Edition 12,LongTrailGuide_Ed12_1940.pdf,https://gmcmontpelier.org/Archive_Publications/LongTrailGuides/LTG_1940/LTG1940.pdf,Last pre-WWII edition
long-trail-guide-books,Long Trail Guide Book,1947,Edition 13,LongTrailGuide_Ed13_1947.pdf,https://gmcmontpelier.org/Archive_Publications/LongTrailGuides/LTG_1947/LTG1947.pdf,First post-WWII edition
long-trail-guide-books,Long Trail Guide Book,1951,Edition 14,LongTrailGuide_Ed14_1951.pdf,https://gmcmontpelier.org/Archive_Publications/LongTrailGuides/LTG_1951/LTG1951.pdf,
long-trail-guide-books,Long Trail Guide Book,1956,Edition 15,LongTrailGuide_Ed15_1956.pdf,https://gmcmontpelier.org/Archive_Publications/LongTrailGuides/LTG_1956/LTG1956.pdf,
long-trail-guide-books,Long Trail Guide Book,1960,Edition 16,LongTrailGuide_Ed16_1960.pdf,https://gmcmontpelier.org/Archive_Publications/LongTrailGuides/LTG_1960/LTG1960.pdf,50th Anniversary Edition
long-trail-guide-books,Long Trail Guide Book,1963,Edition 17,LongTrailGuide_Ed17_1963.pdf,https://gmcmontpelier.org/Archive_Publications/LongTrailGuides/LTG_1963/LTG1963.pdf,Includes history of first 25 years
long-trail-guide-books,Long Trail Guide Book,1966,Edition 18,LongTrailGuide_Ed18_1966.pdf,https://gmcmontpelier.org/Archive_Publications/LongTrailGuides/LTG_1966/LTG1966.pdf,
long-trail-guide-books,Long Trail Guide Book,1968,Edition 19,LongTrailGuide_Ed19_1968.pdf,https://gmcmontpelier.org/Archive_Publications/LongTrailGuides/LTG_1968/LTG1968.pdf,
long-trail-guide-books,Long Trail Guide Book,1971,Edition 20,LongTrailGuide_Ed20_1971.pdf,https://gmcmontpelier.org/Archive_Publications/LongTrailGuides/LTG_1971/LTG1971.pdf,
long-trail-guide-books,Long Trail Guide Book,1977,Edition 21,LongTrailGuide_Ed21_1977.pdf,https://gmcmontpelier.org/Archive_Publications/LongTrailGuides/LTG_1977/LTG1977.pdf,AT added to Division VI
long-trail-guide-books,Long Trail Guide Book,1983,Edition 22,LongTrailGuide_Ed22_1983.pdf,https://gmcmontpelier.org/Archive_Publications/LongTrailGuides/LTG_1983/LTG1983.pdf,
long-trail-guide-books,Long Trail Guide Book,1985,Edition 23,LongTrailGuide_Ed23_1985.pdf,https://gmcmontpelier.org/Archive_Publications/LongTrailGuides/LTG_1985/LTG1985.pdf,75th Anniversary Edition
long-trail-news,Long Trail News,1922,December 1922,1922_12_Dec.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1922_12_Dec.pdf,
long-trail-news,Long Trail News,1923,April 1923,1923_04_Apr.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1923_04_Apr.pdf,
long-trail-news,Long Trail News,1923,December 1923,1923_12_Dec.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1923_12_Dec.pdf,
long-trail-news,Long Trail News,1924,April 1924,1924_04_Apr.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1924_04_Apr.pdf,
long-trail-news,Long Trail News,1924,December 1924,1924_12_Dec.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1924_12_Dec.pdf,
long-trail-news,Long Trail News,1925,April 1925,1925_04_Apr.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1925_04_Apr.pdf,
long-trail-news,Long Trail News,1925,December 1925,1925_12_Dec.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1925_12_Dec.pdf,
long-trail-news,Long Trail News,1926,April 1926,1926_04_Apr.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1926_04_Apr.pdf,
long-trail-news,Long Trail News,1926,December 1926,1926_12_Dec.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1926_12_Dec.pdf,
long-trail-news,Long Trail News,1927,April 1927,1927_04_April.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1927_04_April.pdf,
long-trail-news,Long Trail News,1927,July 1927,1927_07_July.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1927_07_July.pdf,
long-trail-news,Long Trail News,1927,December 1927,1927_12_Dec.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1927_12_Dec.pdf,
long-trail-news,Long Trail News,1928,April 1928,1928_04_Apr.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1928_04_Apr.pdf,
long-trail-news,Long Trail News,1928,June 1928,1928_06_June.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1928_06_June.pdf,
long-trail-news,Long Trail News,1928,August 1928,1928_08_Aug.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1928_08_Aug.pdf,
long-trail-news,Long Trail News,1928,October 1928,1928_10_Oct.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1928_10_Oct.pdf,
long-trail-news,Long Trail News,1928,December 1928,1928_12_Dec.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1928_12_Dec.pdf,
long-trail-news,Long Trail News,1929,February 1929,1929_02_Feb.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1929_02_Feb.pdf,
long-trail-news,Long Trail News,1929,April 1929,1929_04_Apr.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1929_04_Apr.pdf,
long-trail-news,Long Trail News,1929,June 1929,1929_06_June.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1929_06_June.pdf,
long-trail-news,Long Trail News,1929,July 1929,1929_07_July.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1929_07_July.pdf,
long-trail-news,Long Trail News,1929,August 1929,1929_08_August.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1929_08_August.pdf,
